prompt_id,case_id,arm,condition,subset,qwen36_tokens
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|hidden,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,1117
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mechanism,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,1271
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mechanism_direction,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,1319
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mismatched,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,1240
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss2|b2500|direction_only,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss2|b2500,node_panel_full_history,direction_only,factorial,962
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss2|b2500|hidden,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss2|b2500,node_panel_full_history,hidden,factorial,915
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss2|b2500|mechanism,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss2|b2500,node_panel_full_history,mechanism,factorial,1052
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss2|b2500|mechanism_direction,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss2|b2500,node_panel_full_history,mechanism_direction,factorial,1099
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|direction_only,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,1148
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|hidden,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,1101
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|mechanism,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,1261
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|mechanism_direction,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1308
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|direction_only,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,900
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|hidden,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,853
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|mechanism,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism,factorial,976
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|mechanism_direction,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism_direction,factorial,1023
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|metadata_only,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,metadata_only,metadata_only,653
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|mismatched,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mismatched,mismatched,1007
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|direction_only,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,direction_only,factorial,1031
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|hidden,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,hidden,factorial,984
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|mechanism,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,mechanism,factorial,1131
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|mechanism_direction,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,mechanism_direction,factorial,1178
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|direction_only,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,2355
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,2307
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,2461
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mechanism_direction,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,2509
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mismatched,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,2430
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss1|b9600|slot1|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss1|b9600,event_sample_then_full_history,hidden,seed_replication,2399
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss1|b9600|slot1|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss1|b9600,event_sample_then_full_history,mechanism,seed_replication,2553
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss2|b9600|slot2|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss2|b9600,event_sample_then_full_history,hidden,seed_replication,2390
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss2|b9600|slot2|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss2|b9600,event_sample_then_full_history,mechanism,seed_replication,2544
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss3|b9600|slot3|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss3|b9600,event_sample_then_full_history,hidden,seed_replication,2455
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss3|b9600|slot3|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss3|b9600,event_sample_then_full_history,mechanism,seed_replication,2609
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|direction_only,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,direction_only,factorial,1383
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,hidden,factorial,1336
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism,factorial,1473
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|mechanism_direction,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism_direction,factorial,1520
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss1|b2500|slot1|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss1|b2500,node_panel_full_history,hidden,seed_replication,1248
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss1|b2500|slot1|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss1|b2500,node_panel_full_history,mechanism,seed_replication,1385
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss2|b2500|slot2|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss2|b2500,node_panel_full_history,hidden,seed_replication,1482
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss2|b2500|slot2|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss2|b2500,node_panel_full_history,mechanism,seed_replication,1619
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss3|b2500|slot3|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss3|b2500,node_panel_full_history,hidden,seed_replication,1252
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss3|b2500|slot3|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss3|b2500,node_panel_full_history,mechanism,seed_replication,1389
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|direction_only,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,913
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,866
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,1026
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|mechanism_direction,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1073
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws1|b800|slot1|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws1|b800,recent_history_k20,hidden,seed_replication,888
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws1|b800|slot1|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws1|b800,recent_history_k20,mechanism,seed_replication,1048
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws2|b800|slot2|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws2|b800,recent_history_k20,hidden,seed_replication,882
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws2|b800|slot2|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws2|b800,recent_history_k20,mechanism,seed_replication,1042
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws3|b800|slot3|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws3|b800,recent_history_k20,hidden,seed_replication,868
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws3|b800|slot3|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|recent_history_k20|ws3|b800,recent_history_k20,mechanism,seed_replication,1028
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|direction_only,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,911
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,864
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism,factorial,987
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|mechanism_direction,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism_direction,factorial,1034
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|metadata_only,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,metadata_only,metadata_only,655
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|mismatched,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mismatched,mismatched,1018
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws1|b800|slot1|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws1|b800,time_agnostic_t,hidden,seed_replication,843
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws1|b800|slot1|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws1|b800,time_agnostic_t,mechanism,seed_replication,966
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws2|b800|slot2|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws2|b800,time_agnostic_t,hidden,seed_replication,857
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws2|b800|slot2|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws2|b800,time_agnostic_t,mechanism,seed_replication,980
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws3|b800|slot3|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws3|b800,time_agnostic_t,hidden,seed_replication,843
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws3|b800|slot3|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws3|b800,time_agnostic_t,mechanism,seed_replication,966
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|direction_only,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,direction_only,factorial,855
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,hidden,factorial,808
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,mechanism,factorial,955
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|mechanism_direction,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,mechanism_direction,factorial,1002
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws1|b800|slot1|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws1|b800,time_respecting,hidden,seed_replication,816
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws1|b800|slot1|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws1|b800,time_respecting,mechanism,seed_replication,963
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws2|b800|slot2|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws2|b800,time_respecting,hidden,seed_replication,822
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws2|b800|slot2|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws2|b800,time_respecting,mechanism,seed_replication,969
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws3|b800|slot3|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws3|b800,time_respecting,hidden,seed_replication,829
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws3|b800|slot3|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_respecting|ws3|b800,time_respecting,mechanism,seed_replication,976
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|direction_only,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,2675
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,2627
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,2781
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mechanism_direction,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,2829
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mismatched,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,2750
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|direction_only,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,direction_only,factorial,1450
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,hidden,factorial,1403
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism,factorial,1540
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|mechanism_direction,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism_direction,factorial,1587
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|direction_only,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,919
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,872
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,1032
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|mechanism_direction,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1079
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|direction_only,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,901
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,854
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism,factorial,977
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|mechanism_direction,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism_direction,factorial,1024
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|metadata_only,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,metadata_only,metadata_only,655
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|mismatched,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mismatched,mismatched,1008
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|direction_only,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,direction_only,factorial,883
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|hidden,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,hidden,factorial,836
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|mechanism,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,mechanism,factorial,983
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|mechanism_direction,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,mechanism_direction,factorial,1030
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|direction_only,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,973
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|hidden,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,925
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mechanism,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,1079
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mechanism_direction,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,1127
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mismatched,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,1048
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|direction_only,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,direction_only,factorial,949
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|hidden,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,hidden,factorial,902
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|mechanism,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism,factorial,1039
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|mechanism_direction,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism_direction,factorial,1086
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|direction_only,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,1160
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|hidden,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,1113
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|mechanism,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,1273
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|mechanism_direction,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1320
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|direction_only,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,913
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|hidden,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,866
